year,optics,assembly,driver,mech,package,electrical,overhead
2009,5,5,20,30,40,0,0
2010,4.188708036,2.094354018,8.377416071,6.283062053,20.94354018,0,0
2011,1.9680824,0.843463886,5.623092572,5.060783315,14.62004069,0,0
2012,1.57782299,0.717192268,2.151576805,2.151576805,5.594099694,1.434384537,0.717192268
2013,1.213123092,0.606561546,1.819684638,2.304933875,4.245930823,1.334435402,0.606561546
2014,0.444430315,1.15551882,2.311037639,1.599949135,2.04437945,0,1.333290946
2015,0.369055168,0.959543438,1.919086875,1.328598606,1.697653774,0,1.107165505
2016,0.307205281,0.9830569,1.228821125,1.597467462,1.105939012,0,0.921615844
2018,0.225056092,0.765190713,0.900224368,1.305325333,0.630157057,0,0.675168276
2020,0.222931413,0.66879424,0.705949475,1.188967537,0.371552355,0,0.557328533
