index,zero,lower,upper,unit,labelheight,lower_par,upper_par
1,0,0.080003325,0.080003325,\$/m$^2$,-5,16.66666667,16.66666667
2,0,1.922278234,2.277887484,FTE,-5,50,50
3,0,2.952360645,3.307969895,\$,-5,25,25
4,0,7.121324279,15.11035054,\%,-5,15,25
5,0,4.575935343,2.086186703,\%/step,-5,80,80
6,0,12.52601435,11.63686872,UPH,-5,50,50
7,0,11.77390733,37.5190419,mm,-5,33.33333333,33.33333333
8,0,0,2.196797852,mm,-5,0,40
9,0,0.758894765,1.769210137,um,-5,20,33.33333333
10,0,0,1.600558475,\$/kg,-5,0,50
11,0,0,3.146710324,\$/kWh,-5,50,50
12,0,0.060259128,1.36812339,\$,-5,20,100
13,0,1.869474757,2.225084007,\$/g,-5,50,100
