frequency,pst1
0.9110245872088854, 3.7557766430617794
2.1375009012906503, 2.2078623137092084
3.4775398370466526, 1.4029531684430585
4.6317490282448155, 1.0026715088378793
5.839642367870795, 0.717624899805884
7.020693633282864, 0.560983514354838
8.587857812387345, 0.45696701492301056
10.450284807844838, 0.43537284468596377
12.312711803302335, 0.46608964532011815
13.970726079746203, 0.507592489998146
18.0816929843536, 0.6225057347183218
21.806546975268596, 0.7279309579830183
25.531400966183583, 0.8349429771613225
29.256254957098577, 0.975296038179747
31.118681952556074, 1.0689923513130708
34.84353594347106, 1.4853768359116022
36.660537890258865, 1.8341503567860526
38.36397721537243, 2.310458235683578
39.95385391881175, 2.8843827836690674
41.475593049246534, 3.5934261219595958
42.99733217968132, 4.507016930129481
44.519071310116104, 5.646882031179778
46.040810440550885, 7.035058964731046
47.63068714399021, 8.915550170505306
51.105703367221885, 14.159943552940335
52.854567741005134, 17.809884179956903
54.6034321147884, 22.196919770135153
56.420434061576195, 27.746264931919317
58.28286105703369, 34.61780384788181
60.14528805249119, 42.87863677422679
62.007715047948686, 52.77614807279304
63.87014204340618, 64.54902294473993
65.66443146585914, 78.39636296610782
67.45872088831209, 95.21314008234164
