current,flux
7.510534287406415, 0.1144632938083916
11.863816421837512, 0.18289644982932352
16.217098556268596, 0.2519132433471354
20.570380690699707, 0.3207354910326554
24.92366282513082, 0.38907137413743964
29.40498266939811, 0.45895175200923255
33.88630251366543, 0.5286700083541138
38.36762235793272, 0.5977019502350704
42.848942202200035, 0.6676850050739072
47.330262046467354, 0.7373708371134065
51.93961960057085, 0.8085417193600457
56.67701486451058, 0.8797121066646008
61.54244783828652, 0.9517668412555294
66.40788081206246, 1.021819801624701
71.2733137858384, 1.0911764926993492
76.13874675961434, 1.1606202174358131
81.00417973339025, 1.2297158075250145
85.86961270716618, 1.2988984312760317
90.73504568094212, 1.3680810550270488
95.60047865471806, 1.4370896114544345
100.465911628494, 1.5061852015436359
105.33134460226994, 1.5751067243092063
110.19677757604587, 1.6439412134129614
115.06221054982178, 1.7130368035021633
119.92764352359772, 1.7816972252822865
124.79307649737366, 1.8504446807242263
129.6585094711496, 1.919279169827981
134.52394244492552, 1.988287726255367
139.3893754187015, 2.057122215359122
144.2548083924774, 2.125434502491984
149.24827907608955, 2.195918268065402
154.2417497597017, 2.266419440371184
159.1071827334776, 2.334905794827677
163.97261570725357, 2.403305115622354
168.83804868102948, 2.4721396047261095
173.7034816548054, 2.539929689888078
178.69695233841753, 2.6100783758635075
183.8184607318659, 2.6794568025101286
189.06800683515047, 2.7477647036946777
194.44559064827126, 2.81425006713447
198.79887278270235, 2.865884582479011
