voltage, current
2.611161275065758, 11.350917060459697
2.617004710186784, 12.581867714172654
2.623531882922717, 14.139455182355578
2.6296454418231248, 15.787042010375298
2.6356003696787393, 17.368491764174042
2.641723222541824, 19.07350348129019
2.6495572708913757, 21.070931549110085
2.6572173632020495, 23.255466924423846
2.6646770356093628, 25.46521362066694
2.672341860573632, 27.86906652045075
2.6806194312387306, 30.59545448922901
2.6898010864512383, 33.96732860972959
2.6986845549451113, 37.64795515923056
2.7079714464119373, 40.988777675309045
2.715432522662564, 44.7713012220077
2.721390745650401, 48.967556161629304
2.731103642284011, 53.61515117722575
2.7430710908528724, 58.55917540787568
2.7572920886117593, 63.91568925537744
2.7730159313616336, 69.67106424929831
2.790240583647858, 76.12138041243831
2.808215724897405, 83.25307134538807
2.826191353592547, 90.97378528895568
2.8441679571788794, 99.23778241390205
2.8628945370584824, 108.4611944649116
2.8823702533251003, 118.94848336570618
2.9018460595816746, 130.4288673461496
2.921322765737809, 142.7879026584971
2.940799561883899, 156.29295196512018
2.960276538009901, 171.02041223269566
2.9835070101988244, 187.73235562291154
3.0030044440414896, 198.06136757159553
